"Time","Groupe BD","Groupe conservateur-catholique","Groupe des Paysans, Artisans et Bourgeois","Groupe radical-démocratique","Groupe socialiste","Groupe vert'libéral","Groupe écologiste","Groupe évangélique et indépendant","Le groupe du centre. PDC-PEV-PBD.","Non inscrit"
"2003","-1","7.504263786242182","4.887005649717515","4.875283446712018","3.3410807669959324","-1","0.40650406504065045","10.51051051051051","-1","18.11320754716981"
"2004","-1","6.640799880614834","7.218572708271126","8.256585992717927","2.1344303011487114","-1","1.404571743321399","13.650075414781297","-1","21.37462235649547"
"2005","-1","9.07210401891253","7.066349300803331","7.670334320778672","2.6289022768171506","-1","2.029220779220779","14.004720692368213","-1","20.098383696416022"
"2006","-1","7.689795918367347","6.074184714961414","6.845456771981387","0.5649218818960191","-1","0.9569377990430622","11.01766190075694","-1","21.786833855799372"
"2007","-1","8.925912796880539","6.3805233964933175","5.5778952205882355","1.6245777706289206","-1","0.9631877556405858","12.153979238754326","-1","19.75973487986744"
"2008","-1","6.275925641419573","6.157724162765574","4.750791798633106","1.5389507154213036","-1","2.2793465873116374","-1","-1","4.981884057971015"
"2009","5.1435841512177385","10.616146554478645","3.375930389437143","5.522245881430012","1.8713373853560769","-1","2.4771731564508865","-1","-1","0.0"
"2010","3.5124841303427847","11.857826466427905","3.8945119602143383","6.227524785750294","1.8738681993543818","-1","1.8674091498247805","-1","-1","0.0"
"2011","3.6139066788655074","10.604495597855491","3.551745254133497","6.057451011799882","1.6345946792474992","0.857365549493375","2.1645361148145246","-1","-1","0.0"
"2012","5.6458604247941055","11.16613322060511","4.222510701003438","6.602106916181379","1.7059891107078042","0.7619795758051846","2.376738305941846","-1","-1","0.0"
"2013","5.7855240861776815","8.998266161848484","4.024199843871975","5.729989941083489","1.3372345532265069","0.6972639011473962","2.3255813953488373","-1","-1","0.0"
"2014","4.768838733163451","9.725121781489214","3.331107648935381","6.999650716032134","1.6480830559370563","0.711064862989941","1.9293516810895164","-1","-1","-1"
"2015","3.791304347826087","7.70208516175892","4.687921112291327","5.765782476967786","2.559161175349165","1.0535772623325712","1.6388195378016772","-1","-1","-1"
"2016","4.052459016393443","5.619013623653995","3.5810845278783856","5.450503686195058","0.8063369554178937","1.084762865792129","1.049486189053276","-1","-1","-1"
"2017","5.289070192713462","5.261597258829731","3.852833253970477","7.532566154565103","1.2386271507071434","1.1854360711261642","1.561158379517602","-1","-1","-1"
"2018","4.220588235294118","5.998793855759339","2.5909987448448986","5.74701994935458","0.8900724533371719","0.6750675067506751","0.6345495533105118","-1","-1","-1"
"2019","3.9679715302491108","5.966481347192007","2.924717247879359","5.4315290596158645","0.7457801468181605","0.9743532310449098","0.7191955193482689","-1","5.421170012008921","-1"
